SMILES,LogD,log_KSOL,log_HLM CLint,log_MLM CLint,log_Caco-2 Permeability Papp A>B,log_Caco-2 Permeability Efflux,log_MPPB,log_MBPB,log_MGMB,log_MDR1 Efflux_fang,log_KSOL_fang,log_HPPM_fang,log_RPPB_fang,log_RLM CLint_fang,LogD_az,logD7.4,log_Papp,log_kobs,pIC50_CYP3A4,pIC50_CYP2C9,pIC50_CYP2D6
Br/C(=N\Nc1nnn[nH]1)c1ccncc1,,,,,,,,,,,,,,,,,,-2.714,4.883,4.904,5.38
BrC(c1cccc2ccccc12)c1cccc2ccccc12,,,,,,,,,,,,,,,,,,-2.173,4.76,4.865,4.745
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,,,,,,,,,,,,,,,,,,-2.4,4.916,4.824,5.01
Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,,,,,,,,,,,,,,,,3.48,,,,,
Brc1c(Br)c(Br)c2[nH]nnc2c1Br,,,,,,,,,,,,,,,,,,-2.313,4.728,4.774,5.223
Brc1c(NC2=NCCN2)ccc2nccnc12,,,,,,,,,,,,,,,,0.31,,-2.276,4.649,4.664,4.789
Brc1cc(-c2ccc(OCCN3CCCCC3)cc2)cc2cncnc12,2.9,2.45178643552429,1.3031960574204888,2.688330818112266,0.9469432706978255,-0.017728766960431602,,,,,,,,,,,,,,,
Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,,,,,,,,,,,,,,,,2.51,,,,,
Brc1cc(Br)cc(COC[C@H](c2ccccc2)N2CCNCC2)c1,,,,,,,,,,,,,,,2.8,,,,,,
Brc1cc2c(-c3ccc(OCCN4CCCCC4)cc3)nccn2n1,2.8,2.385606273598312,,,,,,,,,,,,,,,,,,,
Brc1cc2c(cc1Cn1cncn1)OCCCO2,,,0.886265059,,,,,,,-0.247517736,1.536432176,,,2.357932942,,,,,,,
Brc1cc2ncc(-c3ccc(OCCN4CC5CCC(C4)O5)cc3)cn2n1,3.6,0.10720996964786837,,,,,,,,,,,,,,,,,,,
Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,,,0.675686709,,,,,,,-0.01066854,1.797475288,,,1.613704432,,,,,,,
Brc1ccc([C@H]2CN3CCSC3=N2)cc1,,,,,,,,,,,,,,,,,,-2.233,4.651,4.655,4.736
Brc1ccc2ncc(-c3ccc(OCCN4CCCCC4)cc3)n2n1,3.0,1.9637878273455553,,,,,,,,,,,,,,,,,,,
Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,,,2.081606511,,,,,,,,,,,3.753651376,,,,,,,
Brc1cnc(NCc2ccccc2)nc1Nc1cc(C2CC2)[nH]n1,,,,,,,,,,,,,,,4.11,,,,,,
Brc1cnc2ccccc2c1,,,,,,,,,,,-0.033858267,,,,,2.91,,,,,
Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)cccc12,3.6,1.6414741105040995,,,,,,,,,,,,,,,,,,,
Brc1cnn2c(-c3ccc(OCCN4CCCCC4)cc3)ccnc12,2.5,2.369215857410143,0.2787536009528289,1.6875289612146342,,,,,,,,,,,,,,,,,
Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)ccc12,3.9,0.9965116721541787,,,,,,,,,,,,,,,,,,,
Brc1cnn2cc(-c3ccc(OCCN4CCCCC4)cc3)cnc12,2.4,2.44870631990508,0.9030899869919435,1.9206450014067875,,,,,,,,,,,,,,,,,
Brc1cnn2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc12,2.8,1.1172712956557642,0.8808135922807914,2.3296012483565187,,,,,,,,,,,,,,,,,
Brc1nn(-c2ccc(OCCN3CCCCC3)cc2)c2cccnc12,2.4,2.380211241711606,,,,,,,,,,,,,,,,,,,
Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,,,1.888409783,,,,,,,-0.235023682,,,,3.492200892,,,,,,,
C#CC#CC/C=C\CCCCC/C=C/C(=O)NCC(C)CC,,,,,,,,,,,,,,,,,-4.4299998,,,,
C#CC#CC/C=C\CCCCCC(C)=O,,,,,,,,,,,,,,,,,-4.492425,,,,
C#CC#CCCCC/C=C/C(=O)NCC(C)C,,,,,,,,,,,,,,,,,-3.8599999,,,,
C#CC(C)(C)C[C@]1(c2ccccc2)CCN([C@@H](C)c2ccc(-c3ccc(=O)[nH]c3)cc2)C(=O)O1,,,,,,,,,,,,,,,,,,-1.541,5.438,4.953,4.753
C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],,,,,,,,,,,,,,,3.0,,,,,,
C#CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,,,,,,,,,,,,,,3.59,,,,,,
C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,,,,,,,,,,,,,,,,,-4.6736641,,,,
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,,,,,,,,,,,,,,,,,-4.5489817,,,,
C#CCC(C(=O)OC)(C(=O)OC)C(C[N+](=O)[O-])c1ccccc1,,,,,,,,,,,,,,,,,,-1.898,5.568,4.937,4.659
C#CCC(Oc1c(N)ncc2c(-c3cnn(C4CCNCC4)c3)coc12)c1c(Cl)ccc(F)c1Cl,,,,,,,,,,,,,,,,,,-1.273,5.524,5.009,4.838
C#CCCC1(CCC(=O)NCCCNc2c(-c3ccc(OCCN4CCCCC4)cc3)cc3cnccc3c2C)N=N1,3.6,2.2576785748691846,,,,,,,,,,,,,,,,,,,
C#CCCCC(=O)Nc1ccccc1,,,,,,,,,,,,,,,,,,-1.652,4.994,5.166,4.759
C#CCCCC(=S)Nc1ccccc1,,,,,,,,,,,,,,,,,,-1.647,5.081,5.205,4.863
C#CCCCCCCCCCCCC(O)CC(O)CO,,,,,,,,,,,,,,,,,,-2.317,4.741,5.175,4.556
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,,,,,,,,,,,,,,,,,,-2.158,4.878,5.304,4.644
C#CCCCCCCCCCCCCCCCC(=O)O,,,,,,,,,,,,,,,,,,-2.519,4.527,5.254,4.442
C#CCCCCCCCCCCCc1ccco1,,,,,,,,,,,,,,,,,,-2.072,5.273,5.854,5.012
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,-1.308,5.695,4.743,4.658
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C(C)(C)C)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.286,5.782,4.793,4.687
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,-1.461,5.369,4.72,4.7
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C4CCCCC4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.451,5.433,4.762,4.718
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,-1.675,5.063,4.682,4.679
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(CCC(=O)OCC)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.645,5.137,4.706,4.696
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,-1.749,4.945,4.672,4.616
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.716,5.024,4.711,4.632
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,-1.253,6.054,4.983,4.829
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.232,6.099,5.056,4.864
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(Cc4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.438,5.656,4.934,4.766
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,-1.401,5.578,4.756,4.703
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N([C@@H](C)c4ccccc4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.363,5.684,4.805,4.729
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,-1.721,5.337,5.066,4.701
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(c4cccc(Oc5ccccc5)c4)C(=O)[C@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.7,5.36,5.141,4.725
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@@H]12,,,,,,,,,,,,,,,,,,-1.684,5.221,4.754,4.639
C#CCCCO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@H]3C(=O)N(c4ccc(F)cc4F)C(=O)[C@@H]3CC[C@H]12,,,,,,,,,,,,,,,,,,-1.649,5.264,4.807,4.648
C#CCCCO/N=C1/[C@H]2O[C@@H]2[C@@H](O)[C@H]2[C@H]1CCn1c(=O)n([C@@H](CC)c3ccccc3)c(=O)n12,,,,,,,,,,,,,,,,,,-1.285,5.584,4.729,4.696
C#CCN(C)C(C)Cc1ccccc1,,,,,,,,,,,,,,,2.16,,,-1.836,4.853,4.743,6.16
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,,,,,,,,,,,,,,,,,,-2.097,4.955,4.76,5.71
C#CCN(C)Cc1ccccc1,,,,,,,,,,,,,,,,,,-2.136,4.701,5.004,5.302
C#CCN(C)[C@@H](C)Cc1ccccc1,,,,,,,,,,,,,,,,,,-1.648,4.961,4.767,6.175
C#CCN(C)[C@H](C)Cc1ccc(F)cc1,,,,,,,,,,,,,,,,2.7,,,,,
C#CCN(C)[C@H](C)Cc1ccccc1,,,,,,,,,,,,,,,,2.49,,,,,
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,,,,,,,,,,,,,,,,,-4.602059991,,,,
C#CCN(CC#C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,,,,,,,,,,,,,,,,,-4.785156152,,,,
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,,,,,,,,,,,,,,,,,-4.68613278,,,,
C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,,,,,,,,,,,,,,,2.8,,,,,,
C#CCN(c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1)c1cc(Cl)ccc1Cl,,,,,,,,,,,,,,,3.2,,,,,,
C#CCN1C(C)=C(C(=O)CCO)[C@@H](c2cccc(-n3oo3)c2)C(C(=O)OC)=C1C,,,,,,,,,,,,,,,,,,-1.596,5.298,5.045,4.7
C#CCN1C(C)=C(C(=O)OC)[C@@H](c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C,,,,,,,,,,,,,,,,,,-1.69,5.519,5.525,4.765
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,,,0.675686709,,,,,,,-0.135635396,1.695043659,,,1.10710817,,,,,,,
C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,,,0.675686709,,,,,,,0.596580622,1.653983907,,,1.921166051,,,,,,,
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,,,0.675686709,,,,,,,,1.867762025,,,1.027920136,,,,,,,
C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,,,0.675686709,,,,,,,,1.632659713,,,1.027920136,,,,,,,
C#CCN1C[C@H](C(=O)NO)[C@H](NC(=O)c2ccc(Cn3c(C(C)(C)C)nc4ccccc43)cc2)C1,,,,,,,,,,,,,,,,,-6.397940009,,,,
C#CCNC(=O)CCc1c(C)nn(C)c1C,,,0.675686709,,,,,,,0.901164925,1.784831178,,,1.027920136,,,,,,,
